Patient,Position,Method,Decoding TW,Accuracy
S22,p2,Kumar,0.6S,0.25165562913907286
S22,p2,Kumar,0.6S,0.2582781456953642
S22,p2,Kumar,0.6S,0.2913907284768212
S22,p2,Kumar,0.6S,0.2847682119205298
S22,p2,Kumar,0.6S,0.31788079470198677
S22,p2,Kumar,0.6S,0.26490066225165565
S22,p2,Kumar,0.6S,0.26490066225165565
S22,p2,Kumar,0.6S,0.271523178807947
S22,p2,Kumar,0.4S,0.2251655629139073
S22,p2,Kumar,0.4S,0.2847682119205298
S22,p2,Kumar,0.4S,0.25165562913907286
S22,p2,Kumar,0.4S,0.24503311258278146
S22,p2,Kumar,0.4S,0.2119205298013245
S22,p2,Kumar,0.4S,0.23178807947019867
S22,p2,Kumar,0.4S,0.25165562913907286
S22,p2,Kumar,0.4S,0.2582781456953642
S22,p2,Kumar,0.4S,0.23841059602649006
S22,p2,Kumar,0.4S,0.26490066225165565
S22,p2,Kumar,0.2S,0.31788079470198677
S22,p2,Kumar,0.2S,0.31788079470198677
S22,p2,Kumar,0.2S,0.33112582781456956
S22,p2,Kumar,0.2S,0.3576158940397351
S22,p2,Kumar,0.2S,0.32450331125827814
S22,p2,Kumar,0.2S,0.32450331125827814
S22,p2,Kumar,0.2S,0.3443708609271523
S22,p2,Kumar,0.2S,0.3576158940397351
S22,p2,Kumar,0.2S,0.32450331125827814
S22,p2,Kumar,0.2S,0.31125827814569534
S22,p2,MFA,1S,0.3026315789473684
S22,p2,MFA,1S,0.3355263157894737
S22,p2,MFA,1S,0.3092105263157895
S22,p2,MFA,1S,0.3223684210526316
S22,p2,MFA,1S,0.3355263157894737
S22,p2,MFA,1S,0.32894736842105265
S22,p2,MFA,1S,0.29605263157894735
S22,p2,MFA,1S,0.34868421052631576
S22,p2,MFA,1S,0.2894736842105263
S22,p2,MFA,1S,0.3355263157894737
S22,p2,MFA,0.8S,0.3618421052631579
S22,p2,MFA,0.8S,0.34210526315789475
S22,p2,MFA,0.8S,0.3355263157894737
S22,p2,MFA,0.8S,0.3157894736842105
S22,p2,MFA,0.8S,0.3618421052631579
S22,p2,MFA,0.8S,0.375
S22,p2,MFA,0.8S,0.3355263157894737
S22,p2,MFA,0.8S,0.32894736842105265
S22,p2,MFA,0.8S,0.35526315789473684
S22,p2,MFA,0.8S,0.32894736842105265
S22,p2,MFA,0.6S,0.3092105263157895
S22,p2,MFA,0.6S,0.3092105263157895
S22,p2,MFA,0.6S,0.3157894736842105
S22,p2,MFA,0.6S,0.2894736842105263
S22,p2,MFA,0.6S,0.2894736842105263
S22,p2,MFA,0.6S,0.2894736842105263
S22,p2,MFA,0.6S,0.3223684210526316
