Patient,Method,Score_Type,Iteration,Value
S22,Kumar,Silhoutte_Score_PhonGrp,39,0.05215733
S22,Kumar,Silhoutte_Score_PhonGrp,40,0.044661734
S22,Kumar,Silhoutte_Score_PhonGrp,41,0.036528535
S22,Kumar,Silhoutte_Score_PhonGrp,42,0.036720313
S22,Kumar,Silhoutte_Score_PhonGrp,43,0.03664729
S22,Kumar,Silhoutte_Score_PhonGrp,44,0.042131357
S22,Kumar,Silhoutte_Score_PhonGrp,45,0.0214228
S22,Kumar,Silhoutte_Score_PhonGrp,46,0.01779151
S22,Kumar,Silhoutte_Score_PhonGrp,47,0.031882092
S22,Kumar,Silhoutte_Score_PhonGrp,48,0.049917724
S22,Kumar,Silhoutte_Score_PhonGrp,49,0.041183192
S22,Kumar,Silhoutte_Score_PhonGrp,50,0.05766779
S22,Kumar,Silhoutte_Score_PhonType,1,0.07805471
S22,Kumar,Silhoutte_Score_PhonType,2,0.07970104
S22,Kumar,Silhoutte_Score_PhonType,3,0.07997214
S22,Kumar,Silhoutte_Score_PhonType,4,0.05199292
S22,Kumar,Silhoutte_Score_PhonType,5,0.083338864
S22,Kumar,Silhoutte_Score_PhonType,6,0.079292744
S22,Kumar,Silhoutte_Score_PhonType,7,0.106256805
S22,Kumar,Silhoutte_Score_PhonType,8,0.09353599
S22,Kumar,Silhoutte_Score_PhonType,9,0.079171404
S22,Kumar,Silhoutte_Score_PhonType,10,0.05646217
S22,Kumar,Silhoutte_Score_PhonType,11,0.061370052
S22,Kumar,Silhoutte_Score_PhonType,12,0.09660799
S22,Kumar,Silhoutte_Score_PhonType,13,0.07228007
S22,Kumar,Silhoutte_Score_PhonType,14,0.07329165
S22,Kumar,Silhoutte_Score_PhonType,15,0.0975143
S22,Kumar,Silhoutte_Score_PhonType,16,0.105770975
S22,Kumar,Silhoutte_Score_PhonType,17,0.09748346
S22,Kumar,Silhoutte_Score_PhonType,18,0.08363682
S22,Kumar,Silhoutte_Score_PhonType,19,0.103202015
S22,Kumar,Silhoutte_Score_PhonType,20,0.050021283
